date,ALL_S,label,label2,FILL
2022-07-01,-0.00644077,Jul,Jul,0
2022-08-01,0.0786502,Aug,,0
2022-09-01,0.383457,Sep,,0
2022-10-01,0.513598,Oct,Oct,0
2022-11-01,0.263544,Nov,,0
2022-12-01,0.0549141,Dec,,0
2023-01-01,0.516713,Jan '23,Jan 2023,0
2023-02-01,0.383878,Feb,,0
2023-03-01,0.0779413,Mar,,0
2023-04-01,0.426852,Apr,Apr,0
2023-05-01,0.109889,May,,0
2023-06-01,0.210308,Jun,,0
2023-07-01,0.20559,Jul,Jul,0
2023-08-01,0.511772,Aug,,0
2023-09-01,0.359584,Sep,,0
2023-10-01,0.0790789,Oct,Oct,0
2023-11-01,0.160309,Nov,,0
2023-12-01,0.233099,Dec,,0
2024-01-01,0.305433,Jan '24,Jan 2024,0
2024-02-01,,Feb,,0
